Chunk Size,Overlap,Embedding Model,Vector DB,LLM,Index Time (s),Index Memory (MB),Avg Query Time (s),Avg Query Memory (MB),Score
200,0,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,3.88339567,280.09375,0.28,2,9
200,0,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,1.70228291,217.78125,0.06,0.86,9
200,0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,1.32601094,244.09375,0.08,11.36,8
200,0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.26193213,223.703125,0.08,2.49,9
200,0,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.2101748,205,0.1,4.74,9
200,0,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,1.51818395,187.5625,0.06,4.29,8
200,0,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,7.67923832,743.484375,0.09,2.35,7
200,0,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,3.30807304,429.25,0.06,5.1,5
200,0,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,2.91934323,401.90625,0.07,10.49,8
200,0,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,3.14450192,416.46875,0.04,4.66,9
200,0,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,2.92413306,312.25,0.11,3.42,8
200,0,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,3.39738393,444.703125,0.07,1.23,8
200,0,InstructorXL,Redis,mistral:latest,36.8167098,371,0.29,4.26,8
200,0,InstructorXL,Redis,llama3.2:latest,35.2430229,250.09375,0.15,1.92,9
200,0,InstructorXL,ChromaDB,mistral:latest,25.9213061,214.265625,0.26,7.68,7
200,0,InstructorXL,ChromaDB,llama3.2:latest,34.836581,216.15625,0.16,4.09,6
200,0,InstructorXL,FAISS,mistral:latest,24.6702018,362.640625,0.26,10.72,8
200,0,InstructorXL,FAISS,llama3.2:latest,36.9883192,196.015625,0.12,1.73,9
200,50,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,5.72151494,575.984375,0.17,3.17,8
200,50,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,3.51153874,314.671875,0.11,3.1,9
200,50,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,1.84898186,295.890625,0.11,10.44,8
200,50,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.79941988,315.28125,0.06,3.38,8
200,50,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.60021615,269.265625,0.09,3.97,8
200,50,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,1.85134697,314.03125,0.04,1.98,7
200,50,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,7.9399879,765.46875,0.09,6.21,6
200,50,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,3.87875104,546.515625,0.05,2.49,9
200,50,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,3.83108091,467.6875,0.09,10.17,8
200,50,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,3.93969393,565.921875,0.07,7.3,9
200,50,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,3.89162016,439.640625,0.1,8.12,7
200,50,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,3.97423983,576.015625,0.07,2.02,8
200,50,InstructorXL,Redis,mistral:latest,57.7271428,232.34375,0.38,2.38,7
200,50,InstructorXL,Redis,llama3.2:latest,36.4818277,188.109375,0.17,1.2,5
200,50,InstructorXL,ChromaDB,mistral:latest,25.7866471,479.84375,0.36,14.35,8
200,50,InstructorXL,ChromaDB,llama3.2:latest,37.839927,225.921875,0.18,1.71,9
200,50,InstructorXL,FAISS,mistral:latest,27.2754261,302.609375,0.35,2.82,8
200,50,InstructorXL,FAISS,llama3.2:latest,53.9056351,144.703125,0.29,3.64,8
200,100,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,11.0918152,659.84375,0.29,4.74,8
200,100,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,4.04095316,408.71875,0.08,3.11,8
200,100,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,2.05400586,381.8125,0.11,13.87,8
200,100,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,2.21996593,408.53125,0.09,5.09,8
200,100,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,2.06942296,348.3125,0.1,5.55,8
200,100,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,2.03119016,406.140625,0.04,1.31,9
200,100,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,11.440757,984.03125,0.1,7.56,5
200,100,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,5.0076139,696.828125,0.04,2.65,4
200,100,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,4.83374882,684.953125,0.06,6.59,8
200,100,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,5.04373407,706.328125,0.06,5.39,9
200,100,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,5.1513989,688.046875,0.07,3.2,9
200,100,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,5.14038491,706.8125,0.05,8.06,8
200,100,InstructorXL,Redis,mistral:latest,60.726511,358.71875,0.23,2.5,6
200,100,InstructorXL,Redis,llama3.2:latest,37.663722,321.65625,0.15,2.73,5
200,100,InstructorXL,ChromaDB,mistral:latest,33.3332119,339,0.21,4.99,9
200,100,InstructorXL,ChromaDB,llama3.2:latest,35.920522,595,0.15,6.77,8
200,100,InstructorXL,FAISS,mistral:latest,33.8891511,405.421875,0.16,1.93,9
200,100,InstructorXL,FAISS,llama3.2:latest,36.7825618,435.71875,0.15,2.39,9
500,0,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,3.18109107,471.875,0.16,5.05,9
500,0,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,1.33049011,160.609375,0.08,2.02,8
500,0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,1.10091376,138.28125,0.08,12.83,9
500,0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.30327582,157.421875,0.08,3.14,8
500,0,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.05555415,131.75,0.14,4.2,9
500,0,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,1.31926322,155.703125,0.07,0.86,8.5
500,0,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,7.32064891,788.921875,0.14,1.59,7.5
500,0,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,3.29520893,425.578125,0.06,1.91,6.5
500,0,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,2.92309284,401.578125,0.09,8.46,9
500,0,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,3.11431408,427.203125,0.07,2.98,9
500,0,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,2.82429814,390.390625,0.09,1.04,9
500,0,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,3.11370802,422.484375,0.07,1.2,9
500,0,InstructorXL,Redis,mistral:latest,37.6730301,440.34375,0.18,1.77,7
500,0,InstructorXL,Redis,llama3.2:latest,28.4386072,310.734375,0.13,2.31,0
500,0,InstructorXL,ChromaDB,mistral:latest,21.7613001,505.828125,0.26,13.83,9
500,0,InstructorXL,ChromaDB,llama3.2:latest,28.1878011,524.6875,0.14,10.86,8
500,0,InstructorXL,FAISS,mistral:latest,23.1737998,515.921875,0.19,2.18,8.5
500,0,InstructorXL,FAISS,llama3.2:latest,27.7844038,526.640625,0.1,4.79,8.5
500,50,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,2.85138679,134.90625,0.16,4.14,9
500,50,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,1.29899597,155.75,0.07,1.06,8.5
500,50,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,1.12185121,135.296875,0.12,8.08,9
500,50,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.30227113,160.4375,0.08,3.47,9
500,50,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.04423285,136.25,0.09,1.66,9
